id_bloque,nivel,x,y,z,toneladas,volumen_m3,lado_bloque_m,lado_x,lado_y,lado_z,volumen_estandar_m3,volumen_esteril_agregado,factor_dilucion,dilucion_planificada_%,clasificacion
0,7,137.52094414599324,281.8547747733999,-370.8778058505208,3385.164347983838,1253.76,10.78,10,10,10,1000,-253.76,1.25,-20.24,Requiere Selectividad
1,4,341.0663510502585,118.16482762165626,-270.4321218808693,3622.7680001019503,1341.77,11.03,10,10,10,1000,-341.77,1.34,-25.47,Requiere Selectividad
2,8,113.47352124058906,696.7371653641507,-9.98371235726148,2942.259995064183,1089.73,10.29,10,10,10,1000,-89.73,1.09,-8.23,Requiere Selectividad
3,5,924.6936182785628,628.942846779884,-253.6909530035652,1633.0957650812877,604.85,8.46,10,10,10,1000,395.15,0.6,39.52,Requiere Dilución
4,7,877.339353380981,877.4720135270529,-335.62419485624594,2055.631970767637,761.35,9.13,10,10,10,1000,238.65,0.76,23.86,Requiere Dilución
5,3,257.9416277151556,735.0710438038858,-183.2995728416371,1317.1897256064155,487.85,7.87,10,10,10,1000,512.15,0.49,51.22,Requiere Dilución
6,7,659.9840460341791,803.4809303848485,-379.9271906109035,4588.027526001328,1699.27,11.93,10,10,10,1000,-699.27,1.7,-41.15,Requiere Selectividad
7,8,817.2222002012159,282.0345725713065,-462.068335945668,3125.263076447542,1157.5,10.5,10,10,10,1000,-157.5,1.16,-13.61,Requiere Selectividad
8,5,555.2008115994623,177.4395437797228,-435.5601390446754,2303.8313754363794,853.27,9.48,10,10,10,1000,146.73,0.85,14.67,Requiere Dilución
9,4,529.6505783560065,750.6147516408583,-435.97708052111375,2579.026116398597,955.19,9.85,10,10,10,1000,44.81,0.96,4.48,Requiere Dilución
10,8,241.8522909004517,806.834739267264,-424.0486532438528,4762.775028253169,1763.99,12.08,10,10,10,1000,-763.99,1.76,-43.31,Requiere Selectividad
11,8,93.1027678058992,990.5051420006732,-430.5864136752949,1190.0813140223609,440.77,7.61,10,10,10,1000,559.23,0.44,55.92,Requiere Dilución
12,3,897.2157579533267,412.6176769114265,-179.56262759839268,3138.034244075588,1162.23,10.51,10,10,10,1000,-162.23,1.16,-13.96,Requiere Selectividad
13,6,900.4180571633304,372.0180857927832,-409.0599578004276,2776.499054980097,1028.33,10.09,10,10,10,1000,-28.33,1.03,-2.75,Requiere Selectividad
14,5,633.1014572732679,776.4129607419968,-327.1663583380684,3251.5440594559154,1204.28,10.64,10,10,10,1000,-204.28,1.2,-16.96,Requiere Selectividad
15,2,339.0297910487007,340.80354025301784,-51.6057950469941,581.4958271937822,215.37,5.99,10,10,10,1000,784.63,0.22,78.46,Requiere Dilución
16,8,349.2095746126609,930.7573256035648,-263.0191798685638,4424.557590248682,1638.73,11.79,10,10,10,1000,-638.73,1.64,-38.98,Requiere Selectividad
17,6,725.9556788702394,858.4127518430118,-166.2211307394864,4694.532271176256,1738.72,12.02,10,10,10,1000,-738.72,1.74,-42.49,Requiere Selectividad
18,2,897.110259952577,428.99402737501833,-413.84006439918505,3043.0993261514404,1127.07,10.41,10,10,10,1000,-127.07,1.13,-11.27,Requiere Selectividad
19,5,887.0864242651173,750.8710677914974,-403.8554905956646,3634.9287074460153,1346.27,11.04,10,10,10,1000,-346.27,1.35,-25.72,Requiere Selectividad
20,1,779.8755458576238,754.5428740846824,-479.5656918667606,4651.247215297831,1722.68,11.99,10,10,10,1000,-722.68,1.72,-41.95,Requiere Selectividad
21,6,642.0316461542877,103.1238688359326,-415.5324684639177,3682.5738544102937,1363.92,11.09,10,10,10,1000,-363.92,1.36,-26.68,Requiere Selectividad
22,9,84.13996499504883,902.5529066795668,-360.7048304840207,1186.425693114176,439.42,7.6,10,10,10,1000,560.58,0.44,56.06,Requiere Dilución
23,1,161.62871409461377,505.2523724478572,-411.49475786162657,3093.2976207506595,1145.67,10.46,10,10,10,1000,-145.67,1.15,-12.71,Requiere Selectividad
24,3,898.5541885270792,826.4574661077417,-455.6487331214722,3230.2177087228515,1196.38,10.62,10,10,10,1000,-196.38,1.2,-16.41,Requiere Selectividad
25,7,606.4290596595899,320.04960103061177,-439.6820644496996,2408.588020860737,892.07,9.63,10,10,10,1000,107.93,0.89,10.79,Requiere Dilución
26,4,9.197051616629649,895.5232284962004,-269.6106159836371,3813.999060311253,1412.59,11.22,10,10,10,1000,-412.59,1.41,-29.21,Requiere Selectividad
27,9,101.47154286603212,389.2016787341631,-396.8331407971037,4704.651566460567,1742.46,12.03,10,10,10,1000,-742.46,1.74,-42.61,Requiere Selectividad
28,3,663.5017691080558,10.83765148029836,-317.8650694759623,4665.058308080494,1727.8,12.0,10,10,10,1000,-727.8,1.73,-42.12,Requiere Selectividad
29,5,5.061583846218687,905.3819764192637,-248.29136457257155,2528.777171318595,936.58,9.78,10,10,10,1000,63.42,0.94,6.34,Requiere Dilución
30,3,160.80805141749866,91.28667678613355,-154.80258568531735,1009.5712062833986,373.92,7.2,10,10,10,1000,626.08,0.37,62.61,Requiere Dilución
31,7,548.7337893665862,319.3136375904149,-480.3439300794505,4931.785395330506,1826.59,12.22,10,10,10,1000,-826.59,1.83,-45.25,Requiere Selectividad
